2019-07-13 13:45:00,2019-07-13 15:05:00,80,3485,Railstutorial,"7.3.3"
2019-07-14 18:00:00,2019-07-14 18:15:00,15,3500,Railstutorial,"7.3"
2019-07-15 15:05:00,2019-07-15 17:55:00,175,3675,Railstutorial,"7章終わり"
2019-07-15 18:55:00,2019-07-15 21:20:00,125,3800,Progate,"Rails 道場１"
2019-07-16 12:35:00,2019-07-16 17:30:00,295,4095,Railstutorial,"8章終わり"
2019-07-16 18:25:00,2019-07-16 20:00:00,95,4190,Progate,"Rails 4"
2019-07-17 18:35:00,2019-07-17 19:35:00,60,4250,Railstutorial,"9.1.1"
2019-07-17 20:15:00,2019-07-17 21:10:00,55,4305,Railstutorial,"9.1.2"
2019-07-18 10:15:00,2019-07-18 12:25:00,130,4435,Railstutorial,"9.1"
2019-07-18 15:15:00,2019-07-18 17:35:00,140,4575,Railstutorial,"9章終わり"
2019-07-18 20:10:00,2019-07-18 21:10:00,60,4635,Progate,"Rails 5"
2019-07-21 10:15:00,2019-07-21 12:00:00,105,4740,Railstutorial,"10.1.1"
2019-07-21 15:00:00,2019-07-21 15:35:00,35,4775,Railstutorial,"10.1.1"
2019-07-25 11:35:00,2019-07-25 12:25:00,50,4825,Railstutorial,"10.1.2"
2019-07-25 12:50:00,2019-07-25 14:20:00,90,4915,Railstutorial,"10.2.1"
2019-07-25 15:10:00,2019-07-25 16:30:00,80,4995,Railstutorial,"10.2"
2019-07-27 15:30:00,2019-07-27 16:25:00,55,5050,Railstutorial,"10.3.1"
2019-07-28 12:00:00,2019-07-28 13:00:00,60,5110,Railstutorial,"10.3.1"
2019-07-29 15:05:00,2019-07-29 16:00:00,55,5165,Railstutorial,"10.3"
2019-07-29 16:50:00,2019-07-29 18:15:00,85,5250,Railstutorial,"10章終わり"
2019-07-29 20:05:00,2019-07-29 20:30:00,25,5275,Progate,"Rails 道場2-2"
2019-07-30 13:05:00,2019-07-30 13:55:00,50,5325,Railstutorial,"11.1"
2019-08-01 15:15:00,2019-08-01 16:10:00,55,5380,Railstutorial,"11.2"
2019-08-07 07:25:00,2019-08-07 10:00:00,155,5535,Railstutorial,"11章　読み"
2019-08-07 12:45:00,2019-08-07 13:25:00,40,5575,Railstutorial,"11.3"
2019-08-08 13:35:00,2019-08-08 18:10:00,275,5850,Railstutorial,"11章　終わり"
2019-08-09 09:30:00,2019-08-09 11:50:00,140,5990,Railstutorial,"12章　読み"
2019-08-10 06:00:00,2019-08-10 08:00:00,120,6110,Railstutorial,"13.1　読み"
2019-08-10 13:00:00,2019-08-10 16:05:00,185,6295,Railstutorial,"12.2.1 書き"
2019-08-10 16:05:00,2019-08-10 17:15:00,70,6365,Railstutorial,"13.3.1　読み"
2019-08-11 12:00:00,2019-08-11 14:00:00,120,6485,Railstutorial,"13　読み"
2019-08-12 07:55:00,2019-08-12 12:10:00,255,6740,Railstutorial,"12章　終わり"
2019-08-12 13:45:00,2019-08-12 16:00:00,135,6875,Railstutorial,"13.1　書き"
2019-08-19 14:00:00,2019-08-19 15:00:00,60,7935,Railstutorial," 13　読み"
2019-08-20 13:00:00,2019-08-20 13:30:00,30,7965,Railstutorial,"14　読み"
2019-08-20 14:00:00,2019-08-20 14:30:00,30,7995,Railstutorial,"13.2　書き"
